"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"576","Acute schizophrenic episode","E104.00","","CPRD_GOLD"
"694","[X]Psychosis NOS","Eu2z.11","","CPRD_GOLD"
"854","Schizophrenic disorders","E10..00","","CPRD_GOLD"
"1494","Paranoid schizophrenia","E103.00","","CPRD_GOLD"
"1915","Delusions","1BH..00","","CPRD_GOLD"
"2113","[X]Paranoid psychosis","Eu22011","","CPRD_GOLD"
"3636","Psychotic episode NOS","E13z.11","","CPRD_GOLD"
"3890","Chronic paranoid psychosis","E121.00","","CPRD_GOLD"
"3984","Chronic schizophrenic","E100200","","CPRD_GOLD"
"4261","Paranoid states","E12..00","","CPRD_GOLD"
"4390","Psychotic condition, insight present","285..11","","CPRD_GOLD"
"4843","[X]Paranoia","Eu22015","","CPRD_GOLD"
"7332","Reactive confusion","E132.00","","CPRD_GOLD"
"8407","Schizophrenia NOS","E10z.00","","CPRD_GOLD"
"8766","[X]Symptomatic psychosis NOS","Eu0z.12","","CPRD_GOLD"
"9281","Paranoid schizophrenia NOS","E103z00","","CPRD_GOLD"
"10543","Organic delusional syndrome","E03y000","","CPRD_GOLD"
"11172","[X]Paranoid state","Eu22012","","CPRD_GOLD"
"11244","[X]Unspecified nonorganic psychosis","Eu2z.00","","CPRD_GOLD"
"11778","[X]Acute schizophrenia-like psychotic disorder","Eu23200","","CPRD_GOLD"
"11973","[X]Induced psychotic disorder","Eu24.13","","CPRD_GOLD"
"12472","O/E - paranoid delusions","225E.00","","CPRD_GOLD"
"12771","Paranoid psychosis NOS","E12z.00","","CPRD_GOLD"
"14743","Simple paranoid state","E120.00","","CPRD_GOLD"
"14965","Nonorganic psychosis NOS","E13z.00","","CPRD_GOLD"
"14971","Paraphrenia","E122.00","","CPRD_GOLD"
"15053","Acute paranoid reaction","E133.00","","CPRD_GOLD"
"15733","Unspecified schizophrenia","E100000","","CPRD_GOLD"
"15958","Non-organic psychoses","E1...00","","CPRD_GOLD"
"16333","Other reactive psychoses","E13y.00","","CPRD_GOLD"
"16537","Other specified non-organic psychoses","E1y..00","","CPRD_GOLD"
"16764","[X]Paranoid schizophrenia","Eu20000","","CPRD_GOLD"
"17281","[X]Schizophrenia, schizotypal and delusional disorders","Eu2..00","","CPRD_GOLD"
"17982","Delusion","1BH..11","","CPRD_GOLD"
"18053","[X]Schizophrenifrm psychos NOS","Eu20y13","","CPRD_GOLD"
"20228","Reactive psychoses","E13..11","","CPRD_GOLD"
"20572","[X]Catatonic stupor","Eu20211","","CPRD_GOLD"
"21595","[X]Acute polymorphic psychot disord with symp of schizophren","Eu23100","","CPRD_GOLD"
"21986","[X]Organic delusional [schizophrenia-like] disorder","Eu05200","","CPRD_GOLD"
"22117","Psychogenic stupor","E13y000","","CPRD_GOLD"
"22188","Non-organic psychosis NOS","E1z..00","","CPRD_GOLD"
"22643","Paranoid ideation","1BH3.00","","CPRD_GOLD"
"22644","Poor insight into psychotic condition","286..11","","CPRD_GOLD"
"23538","Brief reactive psychosis","E13y100","","CPRD_GOLD"
"23616","Subchronic schizophrenia","E100100","","CPRD_GOLD"
"24009","[X]Paranoid organic state","Eu05211","","CPRD_GOLD"
"24107","[X]Chronic undifferentiated schizophrenia","Eu20511","","CPRD_GOLD"
"24345","Psychogenic paranoid psychosis","E134.00","","CPRD_GOLD"
"25019","[X]Acute and transient psychotic disorders","Eu23.00","","CPRD_GOLD"
"25546","Catatonic schizophrenia","E102.00","","CPRD_GOLD"
"26119","Other reactive psychoses NOS","E13yz00","","CPRD_GOLD"
"27770","[X]Psychogenic paranoid psychosis","Eu23312","","CPRD_GOLD"
"28168","[X]Hysterical psychosis","Eu44.14","","CPRD_GOLD"
"28562","[X]Persistent delusional disorders","Eu22.00","","CPRD_GOLD"
"29333","Relative - psychotic illness","13L3.00","","CPRD_GOLD"
"29651","[X]Reactive psychosis","Eu23z12","","CPRD_GOLD"
"29937","Acute hysterical psychosis","E131.00","","CPRD_GOLD"
"30619","Hebephrenic schizophrenia","E101.00","","CPRD_GOLD"
"30985","[X]Other nonorganic psychotic disorders","Eu2y.00","","CPRD_GOLD"
"31362","Chronic paranoid schizophrenia","E103200","","CPRD_GOLD"
"31455","Other paranoid states NOS","E12yz00","","CPRD_GOLD"
"31493","[X]Schizophrenic flexibilatis cerea","Eu20214","","CPRD_GOLD"
"31589","Other paranoid states","E12y.00","","CPRD_GOLD"
"31707","[X]Brief reactive psychosis NOS","Eu23z11","","CPRD_GOLD"
"31738","[X]Chronic hallucinatory psychosis","Eu2y.11","","CPRD_GOLD"
"31984","Other nonorganic psychoses","E13..00","","CPRD_GOLD"
"32222","Simple schizophrenia","E100.00","","CPRD_GOLD"
"32875","Grandiose delusions","1BH1.00","","CPRD_GOLD"
"33338","Atypical schizophrenia","E10y000","","CPRD_GOLD"
"33383","Unspecified paranoid schizophrenia","E103000","","CPRD_GOLD"
"34168","[X]Acute and transient psychotic disorder, unspecified","Eu23z00","","CPRD_GOLD"
"34236","[X]Schizophrenia","Eu20.00","","CPRD_GOLD"
"34389","[X]Delusional disorder","Eu22000","","CPRD_GOLD"
"34966","[X]Schizophrenia, unspecified","Eu20z00","","CPRD_GOLD"
"35848","[X]Simple schizophrenia","Eu20600","","CPRD_GOLD"
"35877","[X]Schizophrenic catatonia","Eu20213","","CPRD_GOLD"
"36720","[X]Acute polymorphic psychot disord without symp of schizoph","Eu23000","","CPRD_GOLD"
"38063","Residual schizophrenia","E106.00","","CPRD_GOLD"
"39062","Other schizophrenia","E10y.00","","CPRD_GOLD"
"39316","[X]Schizotypal disorder","Eu21.00","","CPRD_GOLD"
"40386","[X]Prodromal schizophrenia","Eu21.15","","CPRD_GOLD"
"40981","[X]Delusional dysmorphophobia","Eu22y11","","CPRD_GOLD"
"43405","[X]Hebephrenic schizophrenia","Eu20100","","CPRD_GOLD"
"43462","Delusion of persecution","1BH0.00","","CPRD_GOLD"
"44307","[X]Other acute predominantly delusional psychotic disorders","Eu23300","","CPRD_GOLD"
"44498","Acute exacerbation of chronic schizophrenia","E100400","","CPRD_GOLD"
"44503","[X]Other acute and transient psychotic disorders","Eu23y00","","CPRD_GOLD"
"47230","[X]Induced paranoid disorder","Eu24.12","","CPRD_GOLD"
"47947","[X]Paraphrenia - late","Eu22013","","CPRD_GOLD"
"48054","Hebephrenic schizophrenia NOS","E101z00","","CPRD_GOLD"
"49223","[X]Persistent delusional disorder, unspecified","Eu22z00","","CPRD_GOLD"
"50023","[X]Bouffee delirante","Eu23011","","CPRD_GOLD"
"49420","[X]Other schizophrenia","Eu20y00","","CPRD_GOLD"
"49761","Other schizophrenia NOS","E10yz00","","CPRD_GOLD"
"49852","[X]Pseudoneurotic schizophrenia","Eu21.16","","CPRD_GOLD"
"50060","[X]Paraphrenic schizophrenia","Eu20011","","CPRD_GOLD"
"50248","[X]Involutional paranoid state","Eu22y12","","CPRD_GOLD"
"50868","Folie a deux","E123.11","","CPRD_GOLD"
"51302","[X]Induced delusional disorder","Eu24.00","","CPRD_GOLD"
"51322","Acute exacerbation of subchronic paranoid schizophrenia","E103300","","CPRD_GOLD"
"52523","O/E - delusion of persecution","225F.00","","CPRD_GOLD"
"53032","Acute exacerbation of chronic paranoid schizophrenia","E103400","","CPRD_GOLD"
"53625","Simple schizophrenia NOS","E100z00","","CPRD_GOLD"
"53985","[X]Disorganised schizophrenia","Eu20111","","CPRD_GOLD"
"54387","[X]Borderline schizophrenia","Eu21.12","","CPRD_GOLD"
"55221","[X]Capgras syndrome","Eu22111","","CPRD_GOLD"
"55236","[X]Paranoia querulans","Eu22y13","","CPRD_GOLD"
"57666","Acute exacerbation of subchronic schizophrenia","E100300","","CPRD_GOLD"
"58716","Unspecified catatonic schizophrenia","E102000","","CPRD_GOLD"
"59096","[X]Brief schizophreniform disorder","Eu23211","","CPRD_GOLD"
"60013","[X]Undifferentiated schizophrenia","Eu20300","","CPRD_GOLD"
"61501","[X]Catatonic schizophrenia","Eu20200","","CPRD_GOLD"
"62405","[X]Delusional misidentification syndrome","Eu22100","","CPRD_GOLD"
"62449","[X]Prepsychotic schizophrenia","Eu21.14","","CPRD_GOLD"
"62680","Shared paranoid disorder","E123.00","","CPRD_GOLD"
"63867","Catatonic schizophrenia NOS","E102z00","","CPRD_GOLD"
"64264","[X]Residual schizophrenia","Eu20500","","CPRD_GOLD"
"64533","[X]Schizophrenic catalepsy","Eu20212","","CPRD_GOLD"
"64993","[X]Latent schizophrenia","Eu21.13","","CPRD_GOLD"
"65127","[X]Sensitiver Beziehungswahn","Eu22014","","CPRD_GOLD"
"66077","[X]Other persistent delusional disorders","Eu22y00","","CPRD_GOLD"
"66410","Latent schizophrenia","E105.00","","CPRD_GOLD"
"66506","Unspecified hebephrenic schizophrenia","E101000","","CPRD_GOLD"
"66766","Paranoia querulans","E12y000","","CPRD_GOLD"
"68058","Bouffee delirante","E133.11","","CPRD_GOLD"
"70884","[X]Brief schizophrenifrm psych","Eu23212","","CPRD_GOLD"
"71250","[X]Pseudopsychopathic schizophrenia","Eu21.17","","CPRD_GOLD"
"73295","Schizophrenia simplex","E100.11","","CPRD_GOLD"
"91511","[X]Latent schizophrenic reaction","Eu21.11","","CPRD_GOLD"
"91547","[X]Atypical schizophrenia","Eu20311","","CPRD_GOLD"
"92994","Cenesthopathic schizophrenia","E10y.11","","CPRD_GOLD"
"93167","Oneirophrenia","E104.11","","CPRD_GOLD"
"94001","[X]Schizophreniform disord NOS","Eu20y12","","CPRD_GOLD"
"94299","Chronic latent schizophrenia","E105200","","CPRD_GOLD"
"94604","[X]Schizophrenic reaction","Eu23214","","CPRD_GOLD"
"97919","Acute exacerbation of chronic hebephrenic schizophrenia","E101400","","CPRD_GOLD"
"98821","[X]Cotard syndrome","Eu22200","","CPRD_GOLD"
"99070","Coenesthopathic schizophrenia","E10y100","","CPRD_GOLD"
"99199","Subchronic catatonic schizophrenia","E102100","","CPRD_GOLD"
"102311","Unspecified latent schizophrenia","E105000","","CPRD_GOLD"
"102446","Latent schizophrenia NOS","E105z00","","CPRD_GOLD"
"104760","Subchronic paranoid schizophrenia","E103100","","CPRD_GOLD"
"105606","[X]Folie a deux","Eu24.11","","CPRD_GOLD"
"107222","Acute exacerbation of chronic catatonic schizophrenia","E102400","","CPRD_GOLD"
"109634","Sander's disease","E121.11","","CPRD_GOLD"
"113529","Chronic catatonic schizophrenia","E102200","","CPRD_GOLD"
"113612","CBTp - cognitive behavioural therapy for psychosis","8G13100","","CPRD_GOLD"
"113781","Chronic hebephrenic schizophrenia","E101200","","CPRD_GOLD"
"114206","Acute exacerbation of chronic latent schizophrenia","E105400","","CPRD_GOLD"
"115050","[X]Bouffee delirante with symptoms of schizophrenia","Eu23111","","CPRD_GOLD"
