"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"F062","Organic delusional [schizophrenia-like] disorder","F06.2","","ICD10"
"F20","Schizophrenia","F20","","ICD10"
"F200","Paranoid schizophrenia","F20.0","","ICD10"
"F201","Hebephrenic schizophrenia","F20.1","","ICD10"
"F202","Catatonic schizophrenia","F20.2","","ICD10"
"F203","Undifferentiated schizophrenia","F20.3","","ICD10"
"F205","Residual schizophrenia","F20.5","","ICD10"
"F206","Simple schizophrenia","F20.6","","ICD10"
"F208","Other schizophrenia","F20.8","","ICD10"
"F209","Schizophrenia, unspecified","F20.9","","ICD10"
"F21X","Schizotypal disorder","F21","","ICD10"
"F22","Persistent delusional disorders","F22","","ICD10"
"F220","Delusional disorder","F22.0","","ICD10"
"F228","Other persistent delusional disorders","F22.8","","ICD10"
"F229","Persistent delusional disorder, unspecified","F22.9","","ICD10"
"F23","Acute and transient psychotic disorders","F23","","ICD10"
"F230","Acute polymorphic psychotic disorder without symptoms of schizophrenia","F23.0","","ICD10"
"F231","Acute polymorphic psychotic disorder with symptoms of schizophrenia","F23.1","","ICD10"
"F232","Acute schizophrenia-like psychotic disorder","F23.2","","ICD10"
"F233","Other acute predominantly delusional psychotic disorders","F23.3","","ICD10"
"F238","Other acute and transient psychotic disorders","F23.8","","ICD10"
"F239","Acute and transient psychotic disorder, unspecified","F23.9","","ICD10"
"F24X","Induced delusional disorder","F24","","ICD10"
"F28X","Other nonorganic psychotic disorders","F28","","ICD10"
"F29X","Unspecified nonorganic psychosis","F29","","ICD10"
