"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"73748017","Premature rupture of membranes","L281.00","44223004","CPRD_AURUM"
"306783016","Premature rupture of membranes - delivered","L281100","199658006","CPRD_AURUM"
"306788013","Premature rupture of membranes, labour delayed by therapy","L281400","199661007","CPRD_AURUM"
"306791013","Premature rupture of membranes NOS","L281z00","44223004","CPRD_AURUM"
"672201000006119","Fetus/neonate affected maternal premature rupture membrane","Q011.00","206037001","CPRD_AURUM"
"4798671000006119","Premature rupture of membranes with onset of labor within 24 hours of the rupture","","199660008","CPRD_AURUM"
"4798741000006116","Premature rupture of membranes with onset of labor after 24 hours of the rupture","","199662000","CPRD_AURUM"
"4798661000006114","Prem rupture of membranes onset of labor within 24 hours","","199660008","CPRD_AURUM"
"4798721000006111","Prem rupture of membranes onset of labor after 24 hours","","199662000","CPRD_AURUM"
"3212411000006118","PROM - Premature rupture of membranes","","44223004","CPRD_AURUM"
"3212421000006114","Rupture of membranes prior to onset of labor","","44223004","CPRD_AURUM"
"3212391000006118","Rupture of amniotic sac under 24 hours before onset of labor","","44223004","CPRD_AURUM"
"3212401000006116","Rupture of amniotic sac under 24 hours before onset of labour","","44223004","CPRD_AURUM"
"306784010","Premature rupture of membranes with antenatal problem","L281200","199659003","CPRD_AURUM"
"4798701000006118","Premature rupture of membranes, labor delayed by therapy","","199661007","CPRD_AURUM"
"893731000006112","Maternal prem.membrane rupture","Q011.99","206037001","CPRD_AURUM"
"306789017","Prem rupture of membranes onset of labour after 24 hours","L281500","199662000","CPRD_AURUM"
"4798731000006114","Premature rupture of membranes with onset of labour after 24 hours of the rupture","","199662000","CPRD_AURUM"
"4798681000006116","Premature rupture of membranes with onset of labour within 24 hours of the rupture","","199660008","CPRD_AURUM"
"306782014","Premature rupture of membranes unspecified","L281000","44223004","CPRD_AURUM"
"306785011","Prem rupture of membranes onset of labour within 24 hours","L281300","199660008","CPRD_AURUM"
"4832781000006116","Foetal or neonatal effect of maternal premature rupture of membrane","","206037001","CPRD_AURUM"
"4832761000006114","Fetal or neonatal effect of maternal premature rupture of membrane","","206037001","CPRD_AURUM"
"5104981000006116","Preterm rupture of membranes","","237266003","CPRD_AURUM"
"9325771000006111","Preterm premature rupture of membranes with onset of labour unknown","","10759661000119108","CPRD_AURUM"
"6023911000006111","PPROM - Preterm premature rupture of membranes","","312974005","CPRD_AURUM"
"6023901000006113","Preterm premature rupture of membranes","","312974005","CPRD_AURUM"
"9325761000006116","Preterm premature rupture of membranes with onset of labor later than 24 hours after rupture","","10759611000119105","CPRD_AURUM"
"5104991000006118","Prolonged premature rupture of membranes","","237267007","CPRD_AURUM"
