"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"B012","Varicella pneumonia","B01.2","","ICD10"
"B052","Measles complicated by pneumonia","B05.2","","ICD10"
"B206","HIV disease resulting in Pneumocystis jirovecii pneumonia","B20.6","","ICD10"
"J100","Influenza with pneumonia, seasonal influenza virus identified","J10.0","","ICD10"
"J110","Influenza with pneumonia, virus not identified","J11.0","","ICD10"
"J12","Viral pneumonia, not elsewhere classified","J12","","ICD10"
"J120","Adenoviral pneumonia","J12.0","","ICD10"
"J121","Respiratory syncytial virus pneumonia","J12.1","","ICD10"
"J122","Parainfluenza virus pneumonia","J12.2","","ICD10"
"J123","Human metapneumovirus pneumonia","J12.3","","ICD10"
"J128","Other viral pneumonia","J12.8","","ICD10"
"J129","Viral pneumonia, unspecified","J12.9","","ICD10"
"J13X","Pneumonia due to Streptococcus pneumoniae","J13","","ICD10"
"J14X","Pneumonia due to Haemophilus influenzae","J14","","ICD10"
"J15","Bacterial pneumonia, not elsewhere classified","J15","","ICD10"
"J150","Pneumonia due to Klebsiella pneumoniae","J15.0","","ICD10"
"J151","Pneumonia due to Pseudomonas","J15.1","","ICD10"
"J152","Pneumonia due to staphylococcus","J15.2","","ICD10"
"J153","Pneumonia due to streptococcus, group B","J15.3","","ICD10"
"J154","Pneumonia due to other streptococci","J15.4","","ICD10"
"J155","Pneumonia due to Escherichia coli","J15.5","","ICD10"
"J156","Pneumonia due to other Gram-negative bacteria","J15.6","","ICD10"
"J157","Pneumonia due to Mycoplasma pneumoniae","J15.7","","ICD10"
"J158","Other bacterial pneumonia","J15.8","","ICD10"
"J159","Bacterial pneumonia, unspecified","J15.9","","ICD10"
"J16","Pneumonia due to other infectious organisms, not elsewhere classified","J16","","ICD10"
"J160","Chlamydial pneumonia","J16.0","","ICD10"
"J168","Pneumonia due to other specified infectious organisms","J16.8","","ICD10"
"J17","Pneumonia in diseases classified elsewhere","J17","","ICD10"
"J170","Pneumonia in bacterial diseases classified elsewhere","J17.0","","ICD10"
"J171","Pneumonia in viral diseases classified elsewhere","J17.1","","ICD10"
"J172","Pneumonia in mycoses","J17.2","","ICD10"
"J173","Pneumonia in parasitic diseases","J17.3","","ICD10"
"J178","Pneumonia in other diseases classified elsewhere","J17.8","","ICD10"
"J18","Pneumonia, organism unspecified","J18","","ICD10"
"J180","Bronchopneumonia, unspecified","J18.0","","ICD10"
"J181","Lobar pneumonia, unspecified","J18.1","","ICD10"
"J182","Hypostatic pneumonia, unspecified","J18.2","","ICD10"
"J188","Other pneumonia, organism unspecified","J18.8","","ICD10"
"J189","Pneumonia, unspecified","J18.9","","ICD10"
"J851","Abscess of lung with pneumonia","J85.1","","ICD10"
