"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"853871000006111","Post natal depression","","853871000006107","CPRD_AURUM"
"908731000006114","[RFC] Postnatal depression","","908731000006105","CPRD_AURUM"
"2620391000000111","Maternal postnatal depression","","1038261000000100","CPRD_AURUM"
"423131000006113","[X]Postnatal depression NOS","Eu53011","58703003","CPRD_AURUM"
"423141000006115","[X]Postpartum depression NOS","Eu53012","58703003","CPRD_AURUM"
"6550791000006111","Counseling for postnatal depression","","395072006","CPRD_AURUM"
"6550801000006112","Counselling for postnatal depression","","395072006","CPRD_AURUM"
"223651000000118","Postnatal depression","E204.11","58703003","CPRD_AURUM"
"1231868010","Puerperal depression","62T1.00","58703003","CPRD_AURUM"
"1488771018","Postnatal depression counselling","6G00.00","395072006","CPRD_AURUM"
"6550781000006113","Postnatal depression counseling","","395072006","CPRD_AURUM"
"5106051000006119","Mild postnatal depression","","237349002","CPRD_AURUM"
"5106061000006117","Severe postnatal depression","","237350002","CPRD_AURUM"
