"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"263477019","Baby premature 36-38 weeks","6351.00","169849006","CPRD_AURUM"
"316106013","Premature - weight 1000g-2499g or gestation of 28-37weeks","Q111.00","206169007","CPRD_AURUM"
"420192012","Premature delivery","L142.11","282020008","CPRD_AURUM"
"454114019","Baby premature 24-26 weeks","6357.00","310523002","CPRD_AURUM"
"454121019","Baby premature 39 weeks","6358.00","310527001","CPRD_AURUM"
"454122014","Baby premature 38 weeks","6359.00","310528006","CPRD_AURUM"
"454124010","Baby premature 36 weeks","635B.00","310530008","CPRD_AURUM"
"454144016","Baby premature 26-28 weeks","6356.00","310548004","CPRD_AURUM"
"494753011","Anaemia of prematurity","Q456.00","47100003","CPRD_AURUM"
"758321000000116","Preterm infant status","635C.00","384321000000100","CPRD_AURUM"
"894041000006119","Born very premature","Q110.99","268817004","CPRD_AURUM"
"305903017","Early onset of delivery - delivered","L142100","282020008","CPRD_AURUM"
"316117014","Born premature NOS","Q11z.00","44247006","CPRD_AURUM"
"316884011","[X]Other preterm infants","Qyu1100","44247006","CPRD_AURUM"
"501881000006117","Baby v. premature 32-36 weeks","6352.00","710068006","CPRD_AURUM"
"1816741000006114","Premature labour and delivery","L143.00","282020008","CPRD_AURUM"
"1816761000006113","Premature labour with premature delivery","L143100","282020008","CPRD_AURUM"
"214421000006111","Premature baby","635..13","44247006","CPRD_AURUM"
"785151000006115","Immature baby","Q110.11","44247006","CPRD_AURUM"
"5588761000006111","Very premature baby","","276658003","CPRD_AURUM"
"3698961000006114","Hyperbilirubinemia of prematurity","","73749009","CPRD_AURUM"
"3698941000006110","Neonatal jaundice associated with preterm delivery","","73749009","CPRD_AURUM"
"3698951000006112","Jaundice due to delayed conjugation associated with preterm delivery","","73749009","CPRD_AURUM"
"3698991000006118","Neonatal jaundice after preterm delivery","","73749009","CPRD_AURUM"
"758341000000111","Preterm","635C.11","384321000000100","CPRD_AURUM"
"412909019","Extreme immaturity","Q112.00","276658003","CPRD_AURUM"
"454123016","Baby premature 37 weeks","635A.00","310529003","CPRD_AURUM"
"140281000006110","Short gestation and unspecified low birthweight problems","Q11..00","44247006","CPRD_AURUM"
"660311000006119","Extreme prematurity - less than 28 weeks","Q112.11","268817004","CPRD_AURUM"
"454273012","Premature infant 28-37 weeks","Q116.00","310661005","CPRD_AURUM"
"501721000006111","Baby extremely prem.28-32 week","6353.00","710235005","CPRD_AURUM"
"1816781000006115","Premature delivery without labour","L143300","282020008","CPRD_AURUM"
"3212831000006114","Prematurity of foetus","","44247006","CPRD_AURUM"
"3212821000006111","Prematurity","","44247006","CPRD_AURUM"
"962111000006115","Prenatal complications/preterm labour","","962111000006104","CPRD_AURUM"
"894031000006112","Was premature baby","Q11..99","44247006","CPRD_AURUM"
"402204013","Very premature - less than 1000g or less than 28 weeks","Q110.00","268817004","CPRD_AURUM"
"208371000006112","Preterm delivery associated jaundice","Q432.00","73749009","CPRD_AURUM"
"501561000006113","Baby born premature","Q11..11","44247006","CPRD_AURUM"
"6706141000006112","Preterm infant status: 24-37 weeks gestation","","404970005","CPRD_AURUM"
"5507731000006116","Born very premature","","268868001","CPRD_AURUM"
"7836921000006113","Extreme prematurity of newborn 23 completed weeks","","722840003","CPRD_AURUM"
"9848651000006116","Baby premature 28 weeks","","15750001000119103","CPRD_AURUM"
"9861761000006111","Baby premature 25 weeks","","15887051000119108","CPRD_AURUM"
"9834921000006113","Baby premature 35 weeks","","15635291000119101","CPRD_AURUM"
"9834971000006114","Baby premature 32 weeks","","15635411000119106","CPRD_AURUM"
"2696031000006112","Preterm infancy","","12312009","CPRD_AURUM"
"7511821000006116","Preterm spontaneous labor with term delivery","","698717006","CPRD_AURUM"
