"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"164","Premature baby","635..13","","CPRD_GOLD"
"1211","Born premature NOS","Q11z.00","","CPRD_GOLD"
"3365","Premature delivery","L142.11","","CPRD_GOLD"
"7828","Preterm delivery associated jaundice","Q432.00","","CPRD_GOLD"
"11829","H/O: premature delivery","1546.00","","CPRD_GOLD"
"15563","Short gestation and unspecified low birthweight problems","Q11..00","","CPRD_GOLD"
"17915","Baby extremely prem.28-32 week","6353.00","","CPRD_GOLD"
"17968","Baby premature 36 weeks","635B.00","","CPRD_GOLD"
"19574","Anaemia of prematurity","Q456.00","","CPRD_GOLD"
"19598","Baby premature 37 weeks","635A.00","","CPRD_GOLD"
"20429","Baby born premature","Q11..11","","CPRD_GOLD"
"23670","Premature - weight 1000g-2499g or gestation of 28-37weeks","Q111.00","","CPRD_GOLD"
"23926","Immature baby","Q110.11","","CPRD_GOLD"
"25157","Early onset of delivery - delivered","L142100","","CPRD_GOLD"
"26683","Very premature - less than 1000g or less than 28 weeks","Q110.00","","CPRD_GOLD"
"27662","Baby v. premature 32-36 weeks","6352.00","","CPRD_GOLD"
"29074","Baby premature 36-38 weeks","6351.00","","CPRD_GOLD"
"29996","Baby premature 26-28 weeks","6356.00","","CPRD_GOLD"
"32439","Extreme prematurity - less than 28 weeks","Q112.11","","CPRD_GOLD"
"35209","Premature infant 28-37 weeks","Q116.00","","CPRD_GOLD"
"45688","Baby premature 38 weeks","6359.00","","CPRD_GOLD"
"45693","Baby premature 39 weeks","6358.00","","CPRD_GOLD"
"45702","Baby premature 24-26 weeks","6357.00","","CPRD_GOLD"
"47154","[X]Other preterm infants","Qyu1100","","CPRD_GOLD"
"48011","Extreme immaturity","Q112.00","","CPRD_GOLD"
"104872","Premature labour with premature delivery","L143100","","CPRD_GOLD"
"104873","Premature labour and delivery","L143.00","","CPRD_GOLD"
"106617","Preterm infant status","635C.00","","CPRD_GOLD"
"107078","Preterm","635C.11","","CPRD_GOLD"
