"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"I60","Subarachnoid haemorrhage","I60","","ICD10"
"I600","Subarachnoid haemorrhage from carotid siphon and bifurcation","I60.0","","ICD10"
"I601","Subarachnoid haemorrhage from middle cerebral artery","I60.1","","ICD10"
"I602","Subarachnoid haemorrhage from anterior communicating artery","I60.2","","ICD10"
"I603","Subarachnoid haemorrhage from posterior communicating artery","I60.3","","ICD10"
"I604","Subarachnoid haemorrhage from basilar artery","I60.4","","ICD10"
"I605","Subarachnoid haemorrhage from vertebral artery","I60.5","","ICD10"
"I606","Subarachnoid haemorrhage from other intracranial arteries","I60.6","","ICD10"
"I607","Subarachnoid haemorrhage from intracranial artery, unspecified","I60.7","","ICD10"
"I608","Other subarachnoid haemorrhage","I60.8","","ICD10"
"I609","Subarachnoid haemorrhage, unspecified","I60.9","","ICD10"
"I61","Intracerebral haemorrhage","I61","","ICD10"
"I610","Intracerebral haemorrhage in hemisphere, subcortical","I61.0","","ICD10"
"I611","Intracerebral haemorrhage in hemisphere, cortical","I61.1","","ICD10"
"I612","Intracerebral haemorrhage in hemisphere, unspecified","I61.2","","ICD10"
"I613","Intracerebral haemorrhage in brain stem","I61.3","","ICD10"
"I614","Intracerebral haemorrhage in cerebellum","I61.4","","ICD10"
"I615","Intracerebral haemorrhage, intraventricular","I61.5","","ICD10"
"I616","Intracerebral haemorrhage, multiple localized","I61.6","","ICD10"
"I618","Other intracerebral haemorrhage","I61.8","","ICD10"
"I619","Intracerebral haemorrhage, unspecified","I61.9","","ICD10"
"I62","Other nontraumatic intracranial haemorrhage","I62","","ICD10"
"I620","Subdural haemorrhage (acute)(nontraumatic)","I62.0","","ICD10"
"I621","Nontraumatic extradural haemorrhage","I62.1","","ICD10"
"I629","Intracranial haemorrhage (nontraumatic), unspecified","I62.9","","ICD10"
"I63","Cerebral infarction","I63","","ICD10"
"I630","Cerebral infarction due to thrombosis of precerebral arteries","I63.0","","ICD10"
"I631","Cerebral infarction due to embolism of precerebral arteries","I63.1","","ICD10"
"I632","Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries","I63.2","","ICD10"
"I633","Cerebral infarction due to thrombosis of cerebral arteries","I63.3","","ICD10"
"I634","Cerebral infarction due to embolism of cerebral arteries","I63.4","","ICD10"
"I635","Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries","I63.5","","ICD10"
"I636","Cerebral infarction due to cerebral venous thrombosis, nonpyogenic","I63.6","","ICD10"
"I638","Other cerebral infarction","I63.8","","ICD10"
"I639","Cerebral infarction, unspecified","I63.9","","ICD10"
"I64X","Stroke, not specified as haemorrhage or infarction","I64","","ICD10"
"I65","Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction","I65","","ICD10"
"I650","Occlusion and stenosis of vertebral artery","I65.0","","ICD10"
"I651","Occlusion and stenosis of basilar artery","I65.1","","ICD10"
"I652","Occlusion and stenosis of carotid artery","I65.2","","ICD10"
"I653","Occlusion and stenosis of multiple and bilateral precerebral arteries","I65.3","","ICD10"
"I658","Occlusion and stenosis of other precerebral artery","I65.8","","ICD10"
"I659","Occlusion and stenosis of unspecified precerebral artery","I65.9","","ICD10"
"I66","Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction","I66","","ICD10"
"I660","Occlusion and stenosis of middle cerebral artery","I66.0","","ICD10"
"I661","Occlusion and stenosis of anterior cerebral artery","I66.1","","ICD10"
"I662","Occlusion and stenosis of posterior cerebral artery","I66.2","","ICD10"
"I663","Occlusion and stenosis of cerebellar arteries","I66.3","","ICD10"
"I664","Occlusion and stenosis of multiple and bilateral cerebral arteries","I66.4","","ICD10"
"I668","Occlusion and stenosis of other cerebral artery","I66.8","","ICD10"
"I669","Occlusion and stenosis of unspecified cerebral artery","I66.9","","ICD10"
"I67","Other cerebrovascular diseases","I67","","ICD10"
"I670","Dissection of cerebral arteries, nonruptured","I67.0","","ICD10"
"I671","Cerebral aneurysm, nonruptured","I67.1","","ICD10"
"I672","Cerebral atherosclerosis","I67.2","","ICD10"
"I673","Progressive vascular leukoencephalopathy","I67.3","","ICD10"
"I674","Hypertensive encephalopathy","I67.4","","ICD10"
"I675","Moyamoya disease","I67.5","","ICD10"
"I676","Nonpyogenic thrombosis of intracranial venous system","I67.6","","ICD10"
"I677","Cerebral arteritis, not elsewhere classified","I67.7","","ICD10"
"I678","Other specified cerebrovascular diseases","I67.8","","ICD10"
"I679","Cerebrovascular disease, unspecified","I67.9","","ICD10"
"I68","Cerebrovascular disorders in diseases classified elsewhere","I68","","ICD10"
"I680","Cerebral amyloid angiopathy","I68.0","","ICD10"
"I681","Cerebral arteritis in infectious and parasitic diseases classified elsewhere","I68.1","","ICD10"
"I682","Cerebral arteritis in other diseases classified elsewhere","I68.2","","ICD10"
"I688","Other cerebrovascular disorders in diseases classified elsewhere","I68.8","","ICD10"
"O225","Cerebral venous thrombosis in pregnancy","O22.5","","ICD10"
"O873","Cerebral venous thrombosis in the puerperium","O87.3","","ICD10"
