"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"O083","Shock following abortion and ectopic and molar pregnancy","O08.3","","ICD10"
"O751","Shock during or following labour and delivery","O75.1","","ICD10"
"R57","Shock, not elsewhere classified","R57","","ICD10"
"R570","Cardiogenic shock","R57.0","","ICD10"
"R571","Hypovolaemic shock","R57.1","","ICD10"
"R572","Septic shock","R57.2","","ICD10"
"R578","Other shock","R57.8","","ICD10"
"R579","Shock, unspecified","R57.9","","ICD10"
"T780","Anaphylactic shock due to adverse food reaction","T78.0","","ICD10"
"T782","Anaphylactic shock, unspecified","T78.2","","ICD10"
"T794","Traumatic shock","T79.4","","ICD10"
"T805","Anaphylactic shock due to serum","T80.5","","ICD10"
"T811","Shock during or resulting from a procedure, not elsewhere classified","T81.1","","ICD10"
"T882","Shock due to anaesthesia","T88.2","","ICD10"
"T886","Anaphylactic shock due to adverse effect of correct drug or medicament properly administered","T88.6","","ICD10"
