"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"3035332015","Mixed urinary incontinence","","413343005","CPRD_AURUM"
"745261000000114","Introduction of transobturator sling","7B38900","378411000000100","CPRD_AURUM"
"917561000006110","Bladder: incontinence due to prolapse","","917561000006106","CPRD_AURUM"
"918171000006114","Stress incontinence","","918171000006105","CPRD_AURUM"
"1936731000006118","Stress urinary incontinence at rest","","1936731000006102","CPRD_AURUM"
"121721000006114","Stress incontinence","1A24.00","22220005","CPRD_AURUM"
"121741000006119","Stress incontinence - female","K586.00","60241006","CPRD_AURUM"
"121751000006117","Stress incontinence - symptom","1A24.11","22220005","CPRD_AURUM"
"527681000006119","Burch colposuspension","7B31211","265573004","CPRD_AURUM"
"574151000006114","Colposuspension of bladder neck","7B31200","265573004","CPRD_AURUM"
"1550421000006119","Insertion retropubic device stress urinary incontinence NEC","7B33800","59661004","CPRD_AURUM"
"1588121000006119","Insertion retropubic dev fem stress urinary incontinence NEC","7B33C00","236241009","CPRD_AURUM"
"2854061000006110","GSI - Genuine stress incontinence","","22220005","CPRD_AURUM"
"2854031000006118","Incontinence when straining","","22220005","CPRD_AURUM"
"2854001000006114","Genuine stress incontinence","","22220005","CPRD_AURUM"
"2854041000006111","SI - Stress incontinence","","22220005","CPRD_AURUM"
"6839981000006117","Mixed incontinence","","413343005","CPRD_AURUM"
"2854021000006116","Stress bladder incontinence","","22220005","CPRD_AURUM"
"3469191000006110","Surgical repair of urinary stress incontinence","","59661004","CPRD_AURUM"
"2854071000006115","Stress urinary incontinence","","22220005","CPRD_AURUM"
"3572111000006110","Repair of stress incontinence by suprapubic sling","","65935005","CPRD_AURUM"
"2854051000006113","Urinary stress incontinence","","22220005","CPRD_AURUM"
"933341000006116","Urinary incontin/sling opn.NOS","7B30z99","560561000000106","CPRD_AURUM"
"932491000006110","Urinary incontinence/sling opn","7B35y99","14861000","CPRD_AURUM"
"868001000006114","Urinary incontinence/sling opn","7B31.99","176220008","CPRD_AURUM"
"3572121000006119","Repair of stress incontinence by urethrovesical suspension","","65935005","CPRD_AURUM"
"1936681000006111","Sneezing incontinence of urine","","1936681000006107","CPRD_AURUM"
"37299019","Stress incontinence","K198.00","22220005","CPRD_AURUM"
"867981000006119","Urinary incontin/sling opn.NOS","7B3..98","287775004","CPRD_AURUM"
"3469181000006112","Repair of urinary stress incontinence","","59661004","CPRD_AURUM"
"1936661000006118","Coughing incontinence of urine","","1936661000006102","CPRD_AURUM"
"917511000006112","Stress incontinence","","917511000006108","CPRD_AURUM"
"5727211000006111","Urinary incontinence/sling operation","","287775004","CPRD_AURUM"
"3478371000006111","Female urinary stress incontinence","","60241006","CPRD_AURUM"
"394396016","Colposuspension","7B31298","265573004","CPRD_AURUM"
"8282421000006110","Sneezing incontinence of urine","","840841000000103","CPRD_AURUM"
"3514654019","Stress incontinence with pelvic organ prolapse","","735483004","CPRD_AURUM"
"7515331000006112","Insertion of single incision mid-urethral mini-sling","","698974003","CPRD_AURUM"
