"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"Q14","Introduction of abortifacient into uterine cavity","Q14","","HES-OPCSv4.9"
"Q142","Intra-amniotic injection of abortifacient NEC","Q14.2","","HES-OPCSv4.9"
"Q144","Extra-amniotic injection of abortifacient NEC","Q14.4","","HES-OPCSv4.9"
"Q146","Insertion of abortifacient pessary NEC","Q14.6","","HES-OPCSv4.9"
"Q148","Other specified introduction of abortifacient into uterine cavity","Q14.8","","HES-OPCSv4.9"
"Q149","Unspecified introduction of abortifacient into uterine cavity","Q14.9","","HES-OPCSv4.9"
"R06","Destruction of fetus","R06","","HES-OPCSv4.9"
"R061","Selective feticide NEC","R06.1","","HES-OPCSv4.9"
"R062","Feticide NEC","R06.2","","HES-OPCSv4.9"
"R063","Percutaneous selective feticide by vascular occlusion of umbilical cord","R06.3","","HES-OPCSv4.9"
"R068","Other specified destruction of fetus","R06.8","","HES-OPCSv4.9"
"R069","Unspecified destruction of fetus","R06.9","","HES-OPCSv4.9"
