"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"O04","Medical abortion","O04","","ICD10"
"O040","Medical abortion","O04.0","","ICD10"
"O041","Medical abortion","O04.1","","ICD10"
"O042","Medical abortion","O04.2","","ICD10"
"O043","Medical abortion","O04.3","","ICD10"
"O044","Medical abortion","O04.4","","ICD10"
"O045","Medical abortion","O04.5","","ICD10"
"O046","Medical abortion","O04.6","","ICD10"
"O047","Medical abortion","O04.7","","ICD10"
"O048","Medical abortion","O04.8","","ICD10"
"O049","Medical abortion","O04.9","","ICD10"
"O05","Other abortion","O05","","ICD10"
"O050","Other abortion","O05.0","","ICD10"
"O051","Other abortion","O05.1","","ICD10"
"O052","Other abortion","O05.2","","ICD10"
"O053","Other abortion","O05.3","","ICD10"
"O054","Other abortion","O05.4","","ICD10"
"O055","Other abortion","O05.5","","ICD10"
"O056","Other abortion","O05.6","","ICD10"
"O057","Other abortion","O05.7","","ICD10"
"O058","Other abortion","O05.8","","ICD10"
"O059","Other abortion","O05.9","","ICD10"
"O07","Failed attempted abortion","O07","","ICD10"
"O070","Failed medical abortion, complicated by genital tract and pelvic infection","O07.0","","ICD10"
"O071","Failed medical abortion, complicated by delayed or excessive haemorrhage","O07.1","","ICD10"
"O072","Failed medical abortion, complicated by embolism","O07.2","","ICD10"
"O073","Failed medical abortion, with other and unspecified complications","O07.3","","ICD10"
"O074","Failed medical abortion, without complication","O07.4","","ICD10"
"O075","Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection","O07.5","","ICD10"
"O076","Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage","O07.6","","ICD10"
"O077","Other and unspecified failed attempted abortion, complicated by embolism","O07.7","","ICD10"
"O078","Other and unspecified failed attempted abortion, with other and unspecified complications","O07.8","","ICD10"
"O079","Other and unspecified failed attempted abortion, without complication","O07.9","","ICD10"
"O08","Complications following abortion and ectopic and molar pregnancy","O08","","ICD10"
"O080","Genital tract and pelvic infection following abortion and ectopic and molar pregnancy","O08.0","","ICD10"
"O081","Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy","O08.1","","ICD10"
"O082","Embolism following abortion and ectopic and molar pregnancy","O08.2","","ICD10"
"O083","Shock following abortion and ectopic and molar pregnancy","O08.3","","ICD10"
"O084","Renal failure following abortion and ectopic and molar pregnancy","O08.4","","ICD10"
"O085","Metabolic disorders following abortion and ectopic and molar pregnancy","O08.5","","ICD10"
"O086","Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy","O08.6","","ICD10"
"O087","Other venous complications following abortion and ectopic and molar pregnancy","O08.7","","ICD10"
"O088","Other complications following abortion and ectopic and molar pregnancy","O08.8","","ICD10"
"O089","Complication following abortion and ectopic and molar pregnancy, unspecified","O08.9","","ICD10"
"O311","Continuing pregnancy after abortion of one fetus or more","O31.1","","ICD10"
"P964","Termination of pregnancy, affecting fetus and newborn","P96.4","","ICD10"
