"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"X33","Other blood transfusion","X33","","HES-OPCSv4.9"
"X331","Intra-arterial blood transfusion","X33.1","","HES-OPCSv4.9"
"X332","Intravenous blood transfusion of packed cells","X33.2","","HES-OPCSv4.9"
"X333","Intravenous blood transfusion of platelets","X33.3","","HES-OPCSv4.9"
"X337","Autologous transfusion of red blood cells","X33.7","","HES-OPCSv4.9"
"X338","Other specified other blood transfusion","X33.8","","HES-OPCSv4.9"
"X339","Unspecified other blood transfusion","X33.9","","HES-OPCSv4.9"
"X34","Other intravenous transfusion","X34","","HES-OPCSv4.9"
"X341","Transfusion of coagulation factor","X34.1","","HES-OPCSv4.9"
"X342","Transfusion of plasma NEC","X34.2","","HES-OPCSv4.9"
"X343","Transfusion of serum NEC","X34.3","","HES-OPCSv4.9"
"X344","Transfusion of blood expander","X34.4","","HES-OPCSv4.9"
"X348","Other specified other intravenous transfusion","X34.8","","HES-OPCSv4.9"
"X349","Unspecified other intravenous transfusion","X34.9","","HES-OPCSv4.9"
