"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"N10X","Acute tubulo-interstitial nephritis","N10","","ICD10"
"N12X","Tubulo-interstitial nephritis, not specified as acute or chronic","N12","","ICD10"
"N136","Pyonephrosis","N13.6","","ICD10"
"N15","Other renal tubulo-interstitial diseases","N15","","ICD10"
"N151","Renal and perinephric abscess","N15.1","","ICD10"
"N159","Renal tubulo-interstitial disease, unspecified","N15.9","","ICD10"
"N30","Cystitis","N30","","ICD10"
"N300","Acute cystitis","N30.0","","ICD10"
"N308","Other cystitis","N30.8","","ICD10"
"N309","Cystitis, unspecified","N30.9","","ICD10"
"N34","Urethritis and urethral syndrome","N34","","ICD10"
"N340","Urethral abscess","N34.0","","ICD10"
"N341","Nonspecific urethritis","N34.1","","ICD10"
"N342","Other urethritis","N34.2","","ICD10"
"N390","Urinary tract infection, site not specified","N39.0","","ICD10"
"O23","Infections of genitourinary tract in pregnancy","O23","","ICD10"
"O230","Infections of kidney in pregnancy","O23.0","","ICD10"
"O231","Infections of bladder in pregnancy","O23.1","","ICD10"
"O232","Infections of urethra in pregnancy","O23.2","","ICD10"
"O233","Infections of other parts of urinary tract in pregnancy","O23.3","","ICD10"
"O234","Unspecified infection of urinary tract in pregnancy","O23.4","","ICD10"
"O239","Other and unspecified genitourinary tract infection in pregnancy","O23.9","","ICD10"
"O862","Urinary tract infection following delivery","O86.2","","ICD10"
"O863","Other genitourinary tract infections following delivery","O86.3","","ICD10"
