"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"507635014","Urge incontinence of urine","1A26.00","87557004","CPRD_AURUM"
"3035332015","Mixed urinary incontinence","","413343005","CPRD_AURUM"
"917531000006118","Bladder: urge incontinence","","917531000006102","CPRD_AURUM"
"918181000006112","Urge incontinence of urine","","918181000006108","CPRD_AURUM"
"6839981000006117","Mixed incontinence","","413343005","CPRD_AURUM"
"3923191000006117","Lack of bladder control if desire resisted","","87557004","CPRD_AURUM"
"317526012","[D] Urge incontinence","R083200","87557004","CPRD_AURUM"
"3923211000006116","Urge urinary incontinence","","87557004","CPRD_AURUM"
"3923201000006119","Lack of bladder control if desire urgent","","87557004","CPRD_AURUM"
"5097221000006114","Cough - urge incontinence of urine","","236659004","CPRD_AURUM"
"7033781000006117","Incontinence due to detrusor instability","","424833008","CPRD_AURUM"
