"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"86386010","Morning sickness","L130.11","51885006","CPRD_AURUM"
"305862012","Other pregnancy vomiting - delivered","L13y100","90325002","CPRD_AURUM"
"305864013","Other pregnancy vomiting NOS","L13yz00","90325002","CPRD_AURUM"
"305870019","Unspecified pregnancy vomiting NOS","L13zz00","90325002","CPRD_AURUM"
"308100016","[X]Other vomiting complicating pregnancy","Lyu2100","237284001","CPRD_AURUM"
"64151010","Late vomiting of pregnancy","L132.00","769087009","CPRD_AURUM"
"305858018","Late pregnancy vomiting - not delivered","L132200","769087009","CPRD_AURUM"
"305859014","Late pregnancy vomiting NOS","L132z00","769087009","CPRD_AURUM"
"2723321000006118","Persistent AND/OR vicious vomiting arising during pregnancy","","14094001","CPRD_AURUM"
"3968321000006115","Vomiting as reason for care in pregnancy","","90325002","CPRD_AURUM"
"2723301000006111","Excessive vomiting in pregnancy","","14094001","CPRD_AURUM"
"12732811000006112","Unspecified pregnancy vomiting","","579531000000104","CPRD_AURUM"
"1221052012","Excessive pregnancy vomiting","L13..00","14094001","CPRD_AURUM"
"305860016","Other pregnancy vomiting","L13y.00","90325002","CPRD_AURUM"
"305863019","Other pregnancy vomiting - not delivered","L13y200","90325002","CPRD_AURUM"
"305865014","Unspecified pregnancy vomiting","L13z.00","90325002","CPRD_AURUM"
"305866010","Unspecified pregnancy vomiting unspecified","L13z000","90325002","CPRD_AURUM"
"305868011","Unspecified pregnancy vomiting - not delivered","L13z200","90325002","CPRD_AURUM"
"305867018","Unspecified pregnancy vomiting - delivered","L13z100","90325002","CPRD_AURUM"
"887871000006114","Vomiting of pregnancy NOS","L13z.99","579531000000104","CPRD_AURUM"
"305857011","Late pregnancy vomiting - delivered","L132100","769087009","CPRD_AURUM"
"305861017","Other pregnancy vomiting unspecified","L13y000","90325002","CPRD_AURUM"
"887851000006116","Excess vomiting in pregnancy","L13..99","14094001","CPRD_AURUM"
"305856019","Late pregnancy vomiting unspecified","L132000","769087009","CPRD_AURUM"
