"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"5832","Morning sickness","L130.11","","CPRD_GOLD"
"10185","Excessive pregnancy vomiting","L13..00","","CPRD_GOLD"
"11760","Unspecified pregnancy vomiting","L13z.00","","CPRD_GOLD"
"27833","Other pregnancy vomiting","L13y.00","","CPRD_GOLD"
"41504","Other pregnancy vomiting unspecified","L13y000","","CPRD_GOLD"
"41625","Other pregnancy vomiting NOS","L13yz00","","CPRD_GOLD"
"53661","Unspecified pregnancy vomiting - not delivered","L13z200","","CPRD_GOLD"
"56451","Unspecified pregnancy vomiting NOS","L13zz00","","CPRD_GOLD"
"65555","Late vomiting of pregnancy","L132.00","","CPRD_GOLD"
"69011","Late pregnancy vomiting unspecified","L132000","","CPRD_GOLD"
"70476","Late pregnancy vomiting - delivered","L132100","","CPRD_GOLD"
"72019","Late pregnancy vomiting - not delivered","L132200","","CPRD_GOLD"
"72883","[X]Other vomiting complicating pregnancy","Lyu2100","","CPRD_GOLD"
"73535","Unspecified pregnancy vomiting - delivered","L13z100","","CPRD_GOLD"
"73559","Unspecified pregnancy vomiting unspecified","L13z000","","CPRD_GOLD"
"99247","Other pregnancy vomiting - not delivered","L13y200","","CPRD_GOLD"
"101518","Late pregnancy vomiting NOS","L132z00","","CPRD_GOLD"
"112700","Other pregnancy vomiting - delivered","L13y100","","CPRD_GOLD"
