"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"263436018","Single stillbirth","6332.00","169827000","CPRD_AURUM"
"2794110017","Stillbirth - unknown if foetal death intrapartum or prior to labour","","408796008","CPRD_AURUM"
"905981000006116","[RFC] Neo-natal death/still-birth counselling (6 weeks+)","","905981000006100","CPRD_AURUM"
"1691361000006110","Form 6 - cert. of still-birth","","270101008","CPRD_AURUM"
"1898141000006112","Antepartum stillbirth","","1898141000006108","CPRD_AURUM"
"2365201000000116","Antepartum stillbirth","633B.00","713202001","CPRD_AURUM"
"2365241000000118","Intrapartum stillbirth","633C.00","921611000000101","CPRD_AURUM"
"460530013","[V]Single stillbirth","ZV27100","169827000","CPRD_AURUM"
"460533010","[V]Twins, both stillborn","ZV27400","169830007","CPRD_AURUM"
"460536019","[V]Other multiple birth, all stillborn","ZV27700","237364002","CPRD_AURUM"
"83831000006118","Twins - 1 still + 1 live born","6334.00","169829002","CPRD_AURUM"
"88111000006110","Triplets - 3 still born","6339.00","169834003","CPRD_AURUM"
"88141000006114","Triplets-1 live+ 2 still born","6338.00","169833009","CPRD_AURUM"
"359181000006117","[X] Stillbirth","Q48D.00","237364002","CPRD_AURUM"
"712771000006119","Medical cert. of still-birth","942..00","270101008","CPRD_AURUM"
"460574010","[V]Twin, born before admission to hospital, mate stillborn","ZV32100","445585003","CPRD_AURUM"
"349691000006111","[V]Twin, not hospitalised, mate stillborn","ZV32200","445585003","CPRD_AURUM"
"460590010","[V]Other multiple birth, mates stillborn","ZV35.00","281050002","CPRD_AURUM"
"460591014","[V]Other multiple birth, born in hospital, mates stillborn","ZV35000","281050002","CPRD_AURUM"
"460595017","[V]Other multiple birth, mates stillborn, NOS","ZV35z00","281050002","CPRD_AURUM"
"460596016","[V]Other multiple birth, mates live and stillborn","ZV36.00","281050002","CPRD_AURUM"
"460606015","[V]Other multiple birth, mates live and stillborn NOS","ZV36z00","281050002","CPRD_AURUM"
"343271000006111","[V]Other multiple birth, before hospital, mates live+still","ZV36100","281050002","CPRD_AURUM"
"343301000006113","[V]Other multiple birth, born in hospital, mates live+still","ZV36000","281050002","CPRD_AURUM"
"343391000006118","[V]Other multiple birth, not hospitalised, mates live+still","ZV36200","281050002","CPRD_AURUM"
"343401000006116","[V]Other multiple birth, not hospitalised, mates stillborn","ZV35200","281050002","CPRD_AURUM"
"6767141000006110","Stillbirth - unknown if fetal death intrapartum or prior to labor","","408796008","CPRD_AURUM"
"4627361000006119","Triplets - three stillborn","","169834003","CPRD_AURUM"
"4627301000006115","Twins, one liveborn and one stillborn","","169829002","CPRD_AURUM"
"4627291000006116","Twins - one still and one live born","","169829002","CPRD_AURUM"
"5515881000006115","Medical certificate of still-birth","","270101008","CPRD_AURUM"
"6767131000006117","Stillbirth - unknown if fetal death intrapartum or prior to labour","","408796008","CPRD_AURUM"
"12461681000006111","[V]Twin, mate stillborn","","452451000000109","CPRD_AURUM"
"12461691000006114","[V]Twin, mate stillborn NOS","","452531000000101","CPRD_AURUM"
"349671000006110","[V]Twin, mate stillborn, NOS","ZV32z00","452531000000101","CPRD_AURUM"
"359964011","Stillbirth NEC","Q4z..15","237364002","CPRD_AURUM"
"88131000006116","Triplets -2 live+ 1 still born","6337.00","169832004","CPRD_AURUM"
"1227644019","[V]Stillbirth","ZV27.12","237364002","CPRD_AURUM"
"343471000006110","[V]Other multiple birth,born before hospital,mates stillborn","ZV35100","281050002","CPRD_AURUM"
"4627351000006116","Triplets - one live and two stillborn","","169833009","CPRD_AURUM"
"4627341000006118","Triplets - two live and one stillborn","","169832004","CPRD_AURUM"
"2477192015","Indeterminate stillbirth","","408796008","CPRD_AURUM"
"453239011","[X]Fresh stillbirth","Q48D000","237365001","CPRD_AURUM"
"453240013","[X]Macerated stillbirth","Q48D100","237366000","CPRD_AURUM"
"83851000006113","Twins - both still born","6335.00","169830007","CPRD_AURUM"
"1898151000006114","Intrapartum stillbirth","","1898151000006105","CPRD_AURUM"
"5106241000006114","SB - Stillbirth","","237364002","CPRD_AURUM"
"460532017","[V]Twins, one live born and one stillborn","ZV27300","169829002","CPRD_AURUM"
"461398012","[X]Other multiple births, all stillborn","ZVu2C00","45384004","CPRD_AURUM"
"460573016","[V]Twin, born in hospital, mate stillborn","ZV32000","442327001","CPRD_AURUM"
"460572014","[V]Twin, mate stillborn","ZV32.00","452451000000109","CPRD_AURUM"
"7976751000006113","Form 6 - certificate of stillbirth","","3561000000102","CPRD_AURUM"
"7976761000006110","Still-birth certificate","","3561000000102","CPRD_AURUM"
