"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"974","Stillbirth NEC","Q4z..15","","CPRD_GOLD"
"8104","H/O: stillbirth","1541.00","","CPRD_GOLD"
"8295","[X]Macerated stillbirth","Q48D100","","CPRD_GOLD"
"8776","[X] Stillbirth","Q48D.00","","CPRD_GOLD"
"8906","[V]Stillbirth","ZV27.12","","CPRD_GOLD"
"15985","[V]Twin, mate stillborn","ZV32.00","","CPRD_GOLD"
"18369","[V]Single stillbirth","ZV27100","","CPRD_GOLD"
"20573","[X]Fresh stillbirth","Q48D000","","CPRD_GOLD"
"23015","Twins - 1 still + 1 live born","6334.00","","CPRD_GOLD"
"31203","Single stillbirth","6332.00","","CPRD_GOLD"
"34502","Twins - both still born","6335.00","","CPRD_GOLD"
"35511","A/N care: H/O stillbirth","6234.00","","CPRD_GOLD"
"38890","[V]Twins, both stillborn","ZV27400","","CPRD_GOLD"
"47227","[V]Twins, one live born and one stillborn","ZV27300","","CPRD_GOLD"
"47338","Stillbirth [prevention record]","633..12","","CPRD_GOLD"
"58128","Number of stillbirths","Z22CA00","","CPRD_GOLD"
"67000","Medical cert. of still-birth","942..00","","CPRD_GOLD"
"73036","Triplets -2 live+ 1 still born","6337.00","","CPRD_GOLD"
"86001","[V]Twin, born in hospital, mate stillborn","ZV32000","","CPRD_GOLD"
"93999","Triplets - 3 still born","6339.00","","CPRD_GOLD"
"94586","[V]Other multiple birth, before hospital, mates live+still","ZV36100","","CPRD_GOLD"
"95044","[V]Other multiple birth, all stillborn","ZV27700","","CPRD_GOLD"
"101529","[V]Twin, mate stillborn, NOS","ZV32z00","","CPRD_GOLD"
"107956","[V]Other multiple birth, mates live and stillborn NOS","ZV36z00","","CPRD_GOLD"
"110211","Intrapartum stillbirth","633C.00","","CPRD_GOLD"
"110616","Triplets-1 live+ 2 still born","6338.00","","CPRD_GOLD"
"111793","Antepartum stillbirth","633B.00","","CPRD_GOLD"
"112853","[X]Other multiple births, all stillborn","ZVu2C00","","CPRD_GOLD"
"114050","[V]Other multiple birth, mates stillborn","ZV35.00","","CPRD_GOLD"
"114087","[V]Other multiple birth, mates live and stillborn","ZV36.00","","CPRD_GOLD"
